TX: 13:32:25	/?!
RX: 13:32:42	7E A0 28 02 25 03 F2 F9 B0 E6 E6 00 DB 00 18 30 00 00 00 09 B9 C2 82 EB CB 79 01 35 9B 09 7D 86 AF 62 C9 39 3B 9F EC 72 D8 7E 7E A8 60 03 02 25 5E A3 81 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 09 DD 63 97 C6 AB 5E A8 5B FF 16 D5 3D 03 7E 1F 82 AE E9 DC 80 45 E0 05 2B 8A CE 01 9C CC 94 E1 E6 6A 68 DE 9A 2F 82 D8 D8 EE 1F E6 8D 41 EF A3 31 FE 8C 03 0A 7A A6 56 0E DA 57 C6 AB 59 39 96 62 6E B8 21 7E
TX: 13:32:42	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:42	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 50 DD 68 74 7B F6 68 0D 32 3C 28 E1 BD C3 76 33 FA C8 FA 04 98 5B FA FA 4A F0 9A 5E 18 E1 A2 47 D7 D3 AE 7A 1D DD EA 04 EB 32 1C AD 72 A2 F6 AF 99 D0 FF B7 DA 71 CD AF 6C CC 1E C6 46 47 C3 60 04 7B 3B 19 7C 68 53 80 F8 AC 61 5D 01 8E 93 2E F9 EC 05 DD EB 35 9A 90 BE B4 9E 7E
TX: 13:32:42	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:42	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 52 CF 4B 7B C9 95 A2 D8 00 FF F0 BC F8 27 F9 15 69 10 54 79 18 59 B6 34 18 C8 22 08 D1 BA 7C 93 0A 0A 55 D8 1B 66 71 3C 4D 84 A0 14 25 4E 91 42 F3 D0 D0 F1 0B 4D C7 31 26 1F 64 D1 87 98 36 E1 51 E5 CA 9E 40 4C 91 BE 5C 78 4F DC 3B 75 DD 51 71 47 A3 C3 B1 56 63 68 CB 7E C0 7E
TX: 13:32:42	7E A0 08 02 25 03 51 F9 47 7E
Data send failed.  Try to resend 1/3
RX: 13:32:47	7E A0 08 02 25 03 51 F9 47 7E 7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 54 F9 2E F2 58 6E 91 4B 2F B5 DB B6 71 C6 8D 68 3A CA 52 EE F0 42 9A F5 1B 05 86 1F 5C BB 58 8C 99 4D 05 7C C8 33 F5 2D C1 62 EC F7 C0 9F 7A 71 83 F2 97 DE 57 01 86 FC 2C 20 04 C3 10 84 E1 DE A4 95 41 3C BB 8B 39 48 99 3D 53 0D 9A FE 8B 97 8A 5D 3C 58 28 8C 3D 2D FD 31 05 7E
TX: 13:32:47	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:47	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 56 EB 0D 7A 3E 0A B1 41 CA 91 19 B7 08 D7 A6 F8 C4 99 8B 84 08 9A 70 6A FF CD 3A FC 43 3B 37 FA EB 76 0A 9C 08 65 4C B9 F5 C9 D6 79 AA 5D 32 9F 8B D1 4A 8B C3 8C 6B 6D 12 5A 67 EA 60 43 18 F4 B0 20 9E 80 32 36 58 27 D6 AD FC 4F C7 9B 28 E3 2B 42 8B D4 2F C3 C0 0B 54 BB B8 7E
TX: 13:32:47	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:47	7E A0 08 02 25 03 91 F5 81 7E 7E A0 54 03 02 25 58 0C 3C 82 77 E5 CF C2 2F 13 39 EA 5F B8 A6 61 EF D4 46 57 EE B0 5A D0 19 89 E3 E0 CF F8 4E 11 5B B4 57 16 AB D8 74 24 5F 32 56 C3 0C 76 77 AA 89 D5 89 01 73 CF BF 0A 7F F4 7F 9D EE 5A C6 EC FD F7 8B 13 65 33 AC 55 CA 82 51 F3 E7 B0 5C 7E
TX: 13:32:47	7E A0 28 02 25 03 B4 CB 97 E6 E6 00 DB 00 18 30 00 00 00 0A 92 70 AC BE 78 B1 1A 27 6C 15 82 C8 D6 E3 E8 49 5B 09 F8 A1 F4 7E
RX: 13:32:48	7E A0 28 02 25 03 B4 CB 97 E6 E6 00 DB 00 18 30 00 00 00 0A 92 70 AC BE 78 B1 1A 27 6C 15 82 C8 D6 E3 E8 49 5B 09 F8 A1 F4 7E 7E A8 60 03 02 25 7A 85 E6 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0A 34 FF 4E B7 03 E0 85 89 03 43 56 CC 17 83 12 49 C5 12 A6 A2 EF F1 65 44 5A 73 EF 83 C9 B6 CF 68 AB 85 68 D7 B8 69 16 4D 20 CA 2C 19 45 48 65 34 B9 2D B4 37 4E 67 62 47 0F 9D 03 94 88 A3 D2 48 FA 03 A4 7E
TX: 13:32:48	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:48	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 7C B3 83 01 1A 07 9C 1F D9 0A B3 C0 9F 35 A8 D6 90 23 D2 4C 10 BD 01 82 86 D7 50 73 26 E0 BE 8C F6 DE 08 70 C2 D5 D0 74 E7 B7 26 97 F8 24 4E 88 7F 8F 07 DC DB 03 A5 16 92 7B 09 67 CF 8E EB 60 F3 AF 4F 35 58 05 57 9D BC 01 3E A5 21 14 60 93 7B 59 07 AE DC ED 53 35 70 30 61 7E
TX: 13:32:48	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:48	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 7E A1 A0 29 A2 10 3A B7 45 A1 3B 4A 19 C1 F8 1B E0 A8 BD B8 ED CA 44 12 A9 A2 E4 DE 73 CA 0F 0C AC C4 E8 14 FD A5 A7 65 DF 04 DD 63 07 C7 C3 57 DF C7 4C B7 84 AC B9 B6 10 F5 E9 53 74 37 DA B9 AF 9C 1C 65 D7 B6 9D FB 46 6E B7 79 6A D0 EA AE DE 39 F1 DA 80 E4 CF CC AA 51 CA 7E
TX: 13:32:48	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:48	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 70 DF 49 98 FD F1 BD 1C 29 64 FF B3 D1 95 B1 F4 B0 10 76 AF 4D 1D 70 0C 3F C1 94 FE C1 9D 39 22 23 E1 A9 DB 70 62 5D 2B CA 26 70 AD CF 16 B0 5E 80 29 39 7E B6 56 5B 7A B7 F1 7C 3E 6B 39 85 CE EF ED B1 93 D3 FC AA E3 98 B2 C0 12 F0 18 E4 2C BD 96 BB 63 4A 51 81 65 03 88 49 7E
TX: 13:32:48	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:49	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 72 CD 6A BE B8 C3 93 6B 8B D8 56 01 3B B1 59 45 EA 0D FE CD 30 D5 72 2B 35 31 0C 38 12 65 70 E6 B4 19 9E FF 6D D7 A7 C6 DC F5 A3 37 4F 54 67 FB 45 83 57 EE 49 1D D7 9C BC 26 78 E8 38 4D 4A 63 FE 9D D5 22 0A 31 B7 A6 DA 9B 99 4B 48 02 D3 3D 75 51 88 FB B6 08 90 8D B1 BD B5 7E
TX: 13:32:49	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:49	7E A0 08 02 25 03 51 F9 47 7E 7E A0 54 03 02 25 74 62 D7 DE D5 6E 3F E7 09 C3 A2 4C 10 DA 06 29 1B D8 81 24 75 A5 F8 7B E7 5A DE BE F5 17 1E 94 3B 0D 35 5B 49 41 5A 38 98 86 8D 23 D9 E3 A1 E2 62 6A 17 70 53 46 86 41 BA C5 F5 23 D9 F2 63 1E C8 32 1A 3E 04 45 D0 3C D8 6D 67 AD 68 58 68 7E
TX: 13:32:49	7E A0 28 02 25 03 76 D5 72 E6 E6 00 DB 00 18 30 00 00 00 0B 5D 8C EE C0 14 12 06 E7 3E FD FA 81 C0 CA A2 EC F8 CB F2 4D 6F 7E
RX: 13:32:49	7E A0 28 02 25 03 76 D5 72 E6 E6 00 DB 00 18 30 00 00 00 0B 5D 8C EE C0 14 12 06 E7 3E FD FA 81 C0 CA A2 EC F8 CB F2 4D 6F 7E 7E A8 60 03 02 25 96 E7 CB E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0B 99 A1 AA 91 2E 77 DD 79 22 0B BB 37 26 AE 51 F9 D8 42 87 3D 14 82 E0 42 A4 F3 19 E7 18 90 FF C3 03 56 59 DA 2A 44 95 81 AC 6A 9F 4E 19 9A D9 EE 79 8F 5C 14 04 BA B0 E8 E6 A1 55 67 F2 8E 9C 8A 96 1F 3D 7E
TX: 13:32:49	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:49	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 98 99 22 98 10 2E 02 C1 52 2A 7B 49 57 88 A1 37 E6 71 1F 6F F3 B1 CB 32 48 6B 51 4D 6E CD A4 0C 1E FB 45 BE 23 A3 A8 57 7A 5E 5A EE D7 5F 71 6E BB D8 B0 A7 52 8D 03 D5 AC D3 76 0D D4 26 82 4C 19 A7 A8 DF 28 A0 D2 CE DF 7B 4E C9 7B 18 1D 7C AB 81 D7 56 35 1D FC C7 2C 81 3A 7E
TX: 13:32:49	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:50	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 9A 8B 01 9A 54 B4 81 AB 53 61 0B BD AE 50 A3 74 F4 84 21 68 CE 71 CA F6 56 68 DD 01 B3 00 53 BF 65 22 6A FF 6B 74 EA DA FC 8B F5 38 AA C6 F1 68 4B 0A B2 02 16 B4 EE B3 71 D2 63 18 EF 5E 72 13 66 B9 84 FE E8 C5 02 B5 2B 08 7F B2 BF 84 7C 24 DF 9F C1 19 D2 DE 1A 01 22 C6 31 7E
TX: 13:32:50	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:50	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 9C BD 64 26 20 B3 97 D2 B4 0B 45 76 37 D1 9E C3 CF 93 64 A4 86 D0 B4 5E D4 94 AA B3 98 AB C3 02 8A D4 76 06 FC 1E AF 0B A1 0A 79 26 B4 07 8B F9 CE 79 5F 67 88 B5 10 95 6F A7 1A 52 1A 46 DF 0C 62 95 6D 99 5F 56 76 7C 5F 04 81 A6 9B 59 2B AE D7 06 5F 1E CE B6 3B 2D 4C CA 93 7E
TX: 13:32:50	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:50	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 9E AF 47 72 1F 51 25 7E 72 9E 91 7E C6 1A C1 36 01 7F 99 58 4E 6B B7 39 00 8E 56 5C 2A 1B D8 DC 44 65 04 6C 5D C9 EA D8 B2 01 4A CF 84 E2 AA ED 58 01 C3 72 06 3C 91 66 69 7D DD 3D 65 CB 9D 81 E0 B1 82 AA 10 70 0D DA C4 54 66 0F 3E 7E C2 F7 2C 05 07 C7 B2 07 62 F3 24 3F 64 7E
TX: 13:32:50	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:50	7E A0 08 02 25 03 11 FD 05 7E 7E A0 54 03 02 25 90 48 76 DD 8D 13 B2 45 E6 5A 3D 53 46 7F AA 08 DB F6 34 4B A8 7E 6E F3 F1 69 83 C1 01 AC 76 42 97 6A EF 51 8C 15 C1 D6 FB 9C E8 53 85 A4 B6 33 F1 5A 9D 29 0B 85 CA B7 31 7E 32 03 77 9F BB 1B 22 F4 1A 43 B8 E4 E4 65 97 CB 8B 79 73 21 ED 7E
TX: 13:32:50	7E A0 28 02 25 03 38 AF D9 E6 E6 00 DB 00 18 30 00 00 00 0C 18 4D E8 0B 19 97 0B 8A 8A 77 DA 14 81 78 06 6F C8 12 98 01 AA 7E
RX: 13:32:51	7E A0 28 02 25 03 38 AF D9 E6 E6 00 DB 00 18 30 00 00 00 0C 18 4D E8 0B 19 97 0B 8A 8A 77 DA 14 81 78 06 6F C8 12 98 01 AA 7E 7E A8 60 03 02 25 B2 C1 AC E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0C 0B 8D C5 DA A5 7D 69 A6 84 D5 2F 40 1C 38 30 3D 2E 39 03 A2 7C 4C 94 F2 4B F3 D0 6F 7E 9C 7E 01 41 62 2C E6 32 2B E7 26 F9 05 86 04 29 A5 95 1F B4 5B 9F 74 9B E2 9E FC 19 C0 E9 DE FC 94 67 55 7B 8C BA 7E
TX: 13:32:51	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:51	7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 B4 F7 C9 33 AA A2 47 A4 67 9A 60 A1 43 36 48 BB B0 3E A4 4A FB BF 08 25 AD 60 6A CF 64 0C 84 4E 41 D0 C0 78 3C B5 F7 4C 8F E3 5D 6D 64 CF 25 1F 0F 61 68 55 BF EC 2C E5 CB 2C 6A 5F 72 DC 74 63 9A 38 3F 4A C9 C5 45 F4 9E D4 7B AE D4 C3 6E F0 1C 3C DA 50 61 D1 96 EC D4 0D 8A 7E
TX: 13:32:51	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:51	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 B6 E5 EA F5 41 D8 FE A2 1B 2F CF 7E E0 B1 68 53 98 B6 21 7A 56 FA 65 D4 13 AF 84 AC AF EF 84 02 25 3F 8C AE 7A CA 2F 07 41 00 FF 75 DA A9 EE 1A C2 5B D2 35 42 89 D6 76 76 22 7A 73 1F 67 AC 8A 20 C4 4A 0C 56 4C 3F 7C F4 56 6D C0 A4 0F DD FA BF 7A 44 94 9B 6E 55 AC 71 EE 50 7E
TX: 13:32:51	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:51	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 B8 9B 03 F2 A9 AB F2 D8 92 74 20 97 C0 25 63 D7 1F C0 31 29 C6 EC CF 1B A6 3A 1D 2D FF 9F 2C 84 DE 5F 55 D9 BC FC A0 8C C4 34 32 2F 1F 62 81 6D FA 9B AA D8 2B 57 93 73 CB 3C B3 20 61 0C 51 67 E3 0F DD 5B FA 34 23 DE 3B C9 84 D3 71 36 5E 4D CF 1F C2 67 A3 7A 64 2A CA 30 CF 7E
TX: 13:32:51	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:51	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 BA 89 20 3E 76 54 20 E3 EA AF 6F 21 BC 4A 91 7E 95 EF 72 67 D8 A5 F0 75 A6 43 89 6E B6 15 80 56 5A 66 68 8D 93 F4 47 A1 68 F2 6F 18 91 40 FD E3 13 DF 99 40 6B 01 B9 0F 17 C5 38 58 D7 1D 57 2D 41 89 BE B9 1E FF 8C EC BA 15 86 8A 9C A0 A7 33 39 D8 15 35 63 CA 27 A7 D7 E0 DB 7E
TX: 13:32:51	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:51	7E A0 08 02 25 03 D1 F1 C3 7E 7E A0 54 03 02 25 BC 26 9D F3 71 BC 1F 35 70 36 60 AB 96 8B 61 68 E7 52 31 32 71 36 54 CA 50 89 61 7A 30 AB CC 6A 41 0F 51 AB F0 89 ED BD F4 2B 4A FB 48 8D 3D 97 26 80 41 C4 FB FB DA 98 C5 F7 AF 7A A9 69 77 C9 9B C1 71 6D 54 A5 65 6A D9 E5 12 C4 EF 71 04 7E
TX: 13:32:51	7E A0 28 02 25 03 FA B1 3C E6 E6 00 DB 00 18 30 00 00 00 0D C6 FE FC 29 F2 A3 0E 51 AF 7C 7E 92 8A 90 64 7D F1 F1 13 8A 8E 7E
RX: 13:32:52	7E A0 28 02 25 03 FA B1 3C E6 E6 00 DB 00 18 30 00 00 00 0D C6 FE FC 29 F2 A3 0E 51 AF 7C 7E 92 8A 90 64 7D F1 F1 13 8A 8E 7E 7E A8 60 03 02 25 DE AB 05 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0D D7 C5 8D B0 A2 F6 49 04 10 B4 38 07 F6 69 70 5A 1E DE A1 7A AD BA DF C5 80 9E B2 46 74 E4 4E 7D 11 D5 C0 F3 F7 9F BE 52 07 1E 2D 28 CA 95 49 7B DD 2B 60 1A 2C 27 48 D6 5F 30 6F 48 46 FE 0B 81 99 60 31 7E
TX: 13:32:52	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:52	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 D0 D5 EC 41 3B F1 38 60 18 BB AA 39 ED 8D 20 C0 C3 15 EF BA CF 55 4E F9 51 4C 0E B9 2B 96 00 E6 98 CE 4E 1D FA 65 E0 8F 56 81 32 E6 3F E9 9E FA AF 25 20 E6 90 7F 04 C7 14 12 A2 FA C5 25 3D 69 0A 97 97 49 8F 45 07 69 DB 67 73 93 96 2B 32 59 B5 5E B1 5F E5 75 50 AE 73 2C 80 7E
TX: 13:32:52	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:52	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 D2 C7 CF 8D 7D 95 3C 07 4A 47 5F ED 62 BB D3 EB 2D E4 D0 3C 9A DE 4F 2E 3D 47 F9 54 A7 BF FE 00 C6 68 1C 67 63 E1 EF D1 38 D3 97 93 2A B6 27 8D 9F 59 6F 71 E0 EA 59 91 55 A0 68 53 C9 1F A9 AE 4D 7F DA 36 E8 76 0E 5B F7 E3 83 87 60 20 C7 C8 AE 76 7F 9E B9 C1 E0 5D CC CB 4D 7E
TX: 13:32:52	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:52	7E A0 08 02 25 03 51 F9 47 7E 7E A8 60 03 02 25 D4 F1 AA B2 1E 81 31 AF 55 0E E0 41 CD 29 91 EE 7F 07 83 FB 40 D9 20 D7 F4 D1 A6 E5 CF 37 9A 45 A9 25 6B 35 8B BA 46 C5 EB 32 36 46 4B 37 6A 4B CA CD A1 B4 4D 93 1C 92 50 1F EA A7 29 F3 94 1C 3B 58 61 31 C9 BA 7E 7F C6 BB 1A 93 91 0B C0 3A 13 F4 A5 CA 4A 3D FB D3 33 2F 63 7E
TX: 13:32:52	7E A0 08 02 25 03 71 FB 66 7E
RX: 13:32:52	7E A0 08 02 25 03 71 FB 66 7E 7E A8 60 03 02 25 D6 E3 89 3F F8 9D A3 A7 BC 7E 8C F3 94 4C 18 93 44 AD 50 F1 DD F0 E1 D1 BA 61 28 4E DA D5 AF A2 8E 32 16 87 9C 18 C7 B0 84 12 45 0C 1B FE 56 4D F7 B4 28 02 6B EE 97 FA C2 C3 CD C1 C3 2F 56 B9 32 4F 0B CB 7B C4 83 FD A8 AD FD 8B 26 3C B9 0C 85 08 1D 9A F1 18 46 D6 A7 43 71 7E
TX: 13:32:52	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:52	7E A0 08 02 25 03 91 F5 81 7E 7E A0 54 03 02 25 D8 04 B8 54 2F 13 3D 39 A3 CF 13 65 22 C0 9C F5 D9 E4 24 11 57 29 2F B3 99 9C 3E 16 5A 26 C1 D1 55 34 16 01 FF F3 D6 AF FB E4 CB 2C 99 78 5A 32 65 CA 5D 6F 6F 0B E3 29 3B 42 22 2E BE DD 06 24 DA 0D 6A 40 B6 7F AC 16 7E 8F 17 E6 B6 20 B6 7E
TX: 13:32:52	7E A0 28 02 25 03 BC 83 1B E6 E6 00 DB 00 18 30 00 00 00 0E 32 07 FE 2A 7B 85 F6 D3 99 A2 C0 F9 1D 07 4E CB A5 3A 78 71 87 7E
RX: 13:32:53	7E A0 28 02 25 03 BC 83 1B E6 E6 00 DB 00 18 30 00 00 00 0E 32 07 FE 2A 7B 85 F6 D3 99 A2 C0 F9 1D 07 4E CB A5 3A 78 71 87 7E 7E A8 60 03 02 25 FA 8D 62 E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0E 99 41 7A 7A 0B 30 CF BE 6E CC DC 64 B7 29 E2 64 B3 ED 58 CB 3B 7F 7F 79 4B CE D0 D9 EC 2C 38 1E 2E 11 CF ED A5 15 E2 0F 8E C5 0D D9 93 33 F5 1F B8 65 E6 42 0F 4A 46 7A 54 CC A8 6D 66 FB 9A FB 97 B2 98 7E
TX: 13:32:53	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:53	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 FC BB 07 70 AC 66 79 37 30 9D D5 EB F2 11 99 1F 1E 55 BB 30 DC 58 72 53 DE 9E E7 80 C0 4D E5 FE 73 AB 55 D0 FC F3 53 1E 20 4B ED B4 65 49 52 C6 0C 5B AC CA 46 99 F4 77 B1 F4 94 C8 39 8B AB AF 56 E7 17 2C B8 E1 BC A1 26 7D A8 39 72 32 FF D0 B3 58 FC 91 B9 17 67 DE 64 5F F2 7E
TX: 13:32:53	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:53	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 FE A9 24 BA EF C0 C7 D5 C5 B6 B7 2C 44 2F 4A D7 A8 3E A5 E4 05 21 B4 D9 AC D3 ED 43 80 6A C2 71 35 C8 AC 99 DB 38 01 D7 BE B5 08 10 D7 CC 4A F2 E6 24 3D 1D 47 0A 3C 1F 54 EB 75 63 6F 09 3B 3B C0 AD B7 3F 42 5B F2 13 9F 7A F6 29 AC 96 B6 9F 20 7E DF 50 60 EA 63 B7 32 9B 4B 7E
TX: 13:32:53	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:53	7E A0 08 02 25 03 11 FD 05 7E 7E A8 60 03 02 25 F0 D7 CD 8A C2 AD 4A 9D E5 F4 1D AD 6B 24 B5 D2 6B 97 D7 C9 75 94 FD 52 B6 3E E0 69 F0 6B 45 4A B2 F8 91 F5 2B 39 FE F8 DA 1C 3D 5D 0B 8D 2D D7 C1 76 CE 87 BC 17 C3 4C B9 1E E5 C4 B4 DD 46 EB 31 42 46 07 9C EC BC 05 B5 F6 E1 C7 6A A3 D2 33 0E 9C 9A 17 85 01 E6 51 5C 36 C9 7E
TX: 13:32:53	7E A0 08 02 25 03 31 FF 24 7E
RX: 13:32:53	7E A0 08 02 25 03 31 FF 24 7E 7E A8 60 03 02 25 F2 C5 EE DA E0 37 B5 B8 13 8F 01 5B BD 1F D1 0A 17 D1 D4 43 0E AC 14 1C E6 91 56 49 48 41 3F 9F B3 28 D8 00 BC E7 3D A9 8C 57 B9 8A 8D 25 CB 07 B4 1F 25 42 75 09 88 CF 30 AD B7 01 2A D3 2C D1 87 F4 EE 71 81 2F B2 F4 B0 3E BA D2 56 FD A0 19 DF 1F 11 77 50 DC 77 EA AA 10 E1 7E
TX: 13:32:53	7E A0 08 02 25 03 51 F9 47 7E
RX: 13:32:53	7E A0 08 02 25 03 51 F9 47 7E 7E A0 54 03 02 25 F4 6A 53 6C B2 4D CD BF DB 7F D2 33 77 6E D7 0C 35 40 7F 7B 7B C8 6C 24 D0 73 6F 9C D9 C2 DF A5 44 83 C9 5B B6 8B 90 37 F6 F6 00 A8 BB 3D 3F A7 12 DE 34 FB 8A 4E C9 FC E8 78 00 6F 07 BE 77 53 C3 60 73 02 33 09 46 DE 57 67 B8 85 D8 15 CC 7E
TX: 13:32:53	7E A0 28 02 25 03 7E 9D FE E6 E6 00 DB 00 18 30 00 00 00 0F 34 96 F4 E7 36 1C A5 06 B2 75 3E 55 15 0C 13 E1 B1 FE 09 EB 0F 7E
RX: 13:32:54	7E A0 28 02 25 03 7E 9D FE E6 E6 00 DB 00 18 30 00 00 00 0F 34 96 F4 E7 36 1C A5 06 B2 75 3E 55 15 0C 13 E1 B1 FE 09 EB 0F 7E 7E A8 60 03 02 25 16 EF 4F E6 E7 00 DB 08 A5 4C 99 00 00 00 01 03 82 01 E8 30 00 00 00 0F BA AF 4B 57 98 D7 6E B4 54 28 F9 6D 49 2E 50 0B 7B 48 5E 08 51 5C 27 0C 1F 45 AA 1D 15 04 08 69 9C 58 38 2D B7 63 18 CC 36 0C E4 98 E0 DB CB 72 BB 84 31 8E 18 B9 75 4E 4E E2 D0 C3 9E 9B B0 CD A1 A6 F4 7E
TX: 13:32:54	7E A0 08 02 25 03 91 F5 81 7E
RX: 13:32:54	7E A0 08 02 25 03 91 F5 81 7E 7E A8 60 03 02 25 18 91 A6 47 FC 62 92 C9 B8 B3 8C 34 DC F3 54 D4 BB 8C 6E DF 5A 16 E2 91 58 99 D0 C6 04 BE 65 1A 83 19 C9 F1 A1 E3 E0 3F 82 16 69 2A 1A 8C E6 63 52 B7 25 28 73 48 A2 55 61 5F 41 E5 FE E4 8F 3E 50 4E 8B 80 16 7D 7E B2 27 6B F4 FD 42 62 4C CE A0 B8 6B 79 3F AF 6D C5 E2 8A C3 7E
TX: 13:32:54	7E A0 08 02 25 03 B1 F7 A0 7E
RX: 13:32:54	7E A0 08 02 25 03 B1 F7 A0 7E 7E A8 60 03 02 25 1A 83 85 D2 B7 EB 15 10 30 D6 B0 D4 40 12 03 DE 7F 8C 0E 74 F8 24 53 46 E0 6F 08 C0 F7 60 98 80 70 87 C2 AA 20 06 E2 53 D9 F4 1D AC D6 36 91 98 D2 8C 94 AD 24 1D 51 B2 36 BD E1 63 BC 46 AC 83 06 4F 56 4E BF 84 78 CF A3 9C D8 D4 F1 73 D7 0F E3 F6 DB E4 A3 D2 15 1E 20 DA 81 7E
TX: 13:32:54	7E A0 08 02 25 03 D1 F1 C3 7E
RX: 13:32:54	7E A0 08 02 25 03 D1 F1 C3 7E 7E A8 60 03 02 25 1C B5 E0 3D 40 9A 49 81 0F 4C 5F 54 33 CA BE B5 DE C2 2F C1 C0 9A D5 70 8E 62 03 43 C0 AF 68 48 C1 B1 B3 11 F1 D3 C4 1D 2D F8 E6 14 61 EB E4 24 45 09 06 AA E7 DF FC A6 0B DD 94 86 16 9D 7E 4D 22 F5 28 99 10 C1 79 25 17 14 B1 F8 4A 92 2E 96 1C 73 35 86 74 11 B1 D5 4B 5E 62 7E
TX: 13:32:54	7E A0 08 02 25 03 F1 F3 E2 7E
RX: 13:32:54	7E A0 08 02 25 03 F1 F3 E2 7E 7E A8 60 03 02 25 1E A7 C3 9B F9 FE 1C 26 DD 80 19 7D F7 83 C6 E4 45 5B 7F F5 D2 BC 50 E2 3B B4 1E BB 7E 8E D8 BB 22 B7 FE 82 74 E5 AC FC C4 80 4D AE 28 7E A6 A5 B2 09 CD 2E 25 C7 43 D7 58 5E 9E FB 1C EB 33 35 B2 06 FA AC 69 D4 55 60 20 7A 71 B2 3B A0 83 D2 39 B9 3F 65 56 23 E9 D1 E5 8A 48 7E
TX: 13:32:54	7E A0 08 02 25 03 11 FD 05 7E
RX: 13:32:55	7E A0 08 02 25 03 11 FD 05 7E 7E A0 54 03 02 25 10 40 F2 E7 D6 4C 3A F3 5A AB 79 9F C1 03 91 D2 F2 F0 05 B1 96 C5 00 00 EB 80 26 B1 24 5C 48 F0 58 7E 1C 4B D6 81 62 B1 D5 71 58 EB 26 99 9F 08 5B 81 7A 90 F2 FC 36 08 66 7E F8 4E 8E 16 BA 5D 0C 50 9F C6 BC 36 19 35 27 32 75 D4 91 3B F2 7E
TX: 13:32:55	7E A0 28 02 25 03 30 E7 55 E6 E6 00 DB 00 18 30 00 00 00 10 31 3E FC E9 C1 F8 17 3D A0 0D F1 38 6B 1D 17 53 35 5C 53 04 B2 7E
